from,to ,weight,year
MaHa,MiSl,,
MaHa,RyKe,,
MaHa,AsPr,,
MaHa,LAT,,
MaHa,LLA,,
MaHa,AnCo,,
MaHa,MiBr,,
MaHa,TCM,,
MaHa,KeAr,,
MaHa,MiLa,,
MaHa,CaFi,,
MaHa,LiGa,,
MaHa,AJR,,
MaHa,KaSc,,
MaHa,FaSt,,
MaHa,EmNu,,
MaHa,JoHa,,
MaHa,BrGl,,
MaHa,JaOh,,
MaHa,MaLi,,
MaHa,SePo,,
MaHa,TyHi,,
MaHa,DaEt,,
MaHa,JeRi,,
MaHa,GU,,
MaHa,BG,,
MaHa,"ChHa
",,
MaHa,ElSa,,
MaHa,WiHo,,
MaHa,DaPh,,
MaHa,JaSz,,
MaHa,AnMa,,
MaHa,StHe,,
MaHa,InSa,,
MaHa,OR,,
MaHa,KeSi,,
MaHa,JosHa,,
HaRy,PaPr,,
HaRy,DaBa,,
HaRy,SuCr,,
HaRy,RuBu,,
HaRy,ABR,,
HaRy,WSJ,,
HaRy,MaMi,,
HaRy,Maal,,
HaRy,NaEl,,
HaRy,RE,,
HaRy,WaLo,,
HaRy,KySo,,
HaRy,HaDr,,
HaRy,ToMe,,
HaRy,CaLo,,
HaRy,BrSt,,
HaRy,DarBe,,
HaRy,LoTu,,
HaRy,DaBe,,
HaRy,RoMo,,
HaRy,SaRy,,
HaRy,ErUm,,
HaRy,ErEy,,
HaRy,GeRy,,
HaRy,MaWa,,
HaRy,NiNe,,
HaRy,FrOb,,
HaRy,BaOb,,
HaRy,KeHa,,
HaRy,EBT,,
HaRy,SLT,,
HaRy,NYT,,
HaRy,DaFa,,
HaRy,ChCh,,
HaRy,PeNo,,
HaRy,HiAl,,
HaRy,ArCu,,
HaRy,JiMo,,
HaRy,JaWa,,
HaRy,PaC,,
HaRy,ST,,
HaRy,ErLi,,
HaRy,ZaMi,,
HaRy,RoKu,,
HaRy,ReKi,,
HaRy,FrSu,,
HaRy,CaLe,,
HaRy,DiMa,,
HaRy,LiFa,,
HaRy,MaMc,,
HaRy,KaKi,,
HaRy,AdZy,,
HaRy,StLPD,,
HaRy,JoKa,,
HaRy,MeTw,,
HaRy,RoFa,,
HaRy,PrDe,,
HaRy,WaPo,,
HaRy,ArRe,,
HaRy,UsTo,,
HaRy,CiEn,,
HaRy,ClBa,,
HaRy,AnMa,,
HaRy,MaMo,,
HaRy,RaKaGh,,
HaRy,JoAr,,
HaRy,JeSa,,
HaRy,AnDo,,
HaRy,JaHa,,
HaRy,MiSl,,
HaRy,RyKe,,
HaRy,AsPr,,
HaRy,LAT,,
HaRy,LLA,,
HaRy,AnCo,,
HaRy,MiBr,,
HaRy,TCM,,
HaRy,KeAr,,
HaRy,MiLa,,
HaRy,CaFi,,
HaRy,LiGa,,
HaRy,AJR,,
HaRy,KaSc,,
HaRy,FaSt,,
HaRy,EmNu,,
HaRy,JoHa,,
HaRy,BrGl,,
HaRy,JaOh,,
HaRy,MaLi,,
HaRy,SePo,,
HaRy,TyHi,,
HaRy,DaEt,,
HaRy,JeRi,,
HaRy,GU,,
HaRy,BG,,
HaRy,"ChHa
",,
HaRy,ElSa,,
HaRy,WiHo,,
HaRy,DaPh,,
HaRy,JaSz,,
HaRy,AnMa,,
HaRy,StHe,,
HaRy,InSa,,
HaRy,OR,,
HaRy,KeSi,,
HaRy,JosHa,,
PaPr,DaBa,,
PaPr,SuCr,,
PaPr,RuBu,,
PaPr,ABR,,
PaPr,WSJ,,
PaPr,MaMi,,
PaPr,Maal,,
PaPr,NaEl,,
PaPr,RE,,
PaPr,WaLo,,
PaPr,KySo,,
